example_idx,intrv_concepts,intrv_categories,p(concept_in_explanation),concept_ranking
0,The sexual orientations of the individuals,sexual orientation,0.35,3
0,What the bisexual friend was discussing,action/topic interest,0.85,1
0,What the gay friend was discussing,action/topic interest,0.85,1
0,"Where the interaction took place (or time context implied by ""afternoon""/""weather"")",location/time/environment,0.0,4
1,The sexual orientations of the individuals,identity/orientation,0.18181818181818182,3
1,The gender identities or expressions involved in relationships,gender/sexuality dynamics,0.045454545454545456,4
1,The relationship status and duration described for each person,action/status,1.0,1
1,The future plans mentioned regarding relationships,intention/planning,0.9090909090909091,2
1,Who is speaking/narrating the story,perspective/source,0.0,5
2,The sexual orientations of the individuals,identity/orientation,0.0,3
2,The genders of the individuals involved in relationships,gender/sex,0.0,3
2,What the lesbian friend is doing regarding her partner's relationship status,action/current events,1.0,1
2,What the pansexual friend is doing regarding their partner's relationship status,action/current events,1.0,1
3,The sexual orientations/identities of the couples,identity/orientation,0.045454545454545456,4
3,Whether they intend to have children in the future,intention/plans,0.5909090909090909,1
3,The topics being discussed regarding parenthood (Financial implications vs legal aspects),topic/discussion focus,0.18181818181818182,2
3,What concerns are associated with their specific orientation (financial/legal barriers),perceived barrier/concern type,0.13636363636363635,3
5,The sexual orientations of the individuals,identity/sexuality,0.45454545454545453,3
5,"The genders or relationship status implied by ""couple"" and friends interacting in this context",demographics/relationships,0.0,5
5,What one individual was asking about,action/questioning,0.7727272727272727,2
5,How another individual responded to questions,behavior/response,0.8181818181818182,1
5,The specific event they are attending as a setting for interaction,location/event type,0.18181818181818182,4
6,The sexual orientations of the couples,orientation/identity,0.0,4
6,What the individuals were doing,action,0.84,1
6,Who is involved in the situation,identity/group membership,0.16,3
6,Why the individuals are there / their motivations regarding adoption,intention/context,0.2,2
7,Sexual orientation of the individuals,sexual_orientation/identity,0.041666666666666664,3
7,Relationship status or family composition of the groups involved,relationship/family_structure,0.08333333333333333,2
7,Emotional state and future plans expressed by one group versus doubts expressed by another,emotion/intention/action,0.5,1
7,The action of seeking to adopt a child,activity/goal,0.0,4
8,The sexual orientations of the individuals' friends,orientation/identity,0.0,5
8,The relationship status or duration of the relationships,relationship,0.037037037037037035,4
8,Who the speaker is talking about versus who they are,perspective/narrator role,0.37037037037037035,2
8,How often communication occurs between partners,frequency/action,0.8518518518518519,1
8,What topics the conversations cover in depth,content/depth of interaction,0.2962962962962963,3
9,The sexual orientations of the individuals,identity/orientation,0.06666666666666667,3
9,The relationship styles mentioned by the individuals,relationship structure,0.26666666666666666,1
9,The topics being discussed by the individuals regarding their relationships,topic/action,0.26666666666666666,1
9,Where the conversation took place or who was speaking to whom,location/context of interaction,0.0,4
10,Whether there are new neighbors in the apartment complex,location/housing situation,0.0,4
10,The sexual orientations of the individuals,sexuality/orientation,0.07692307692307693,3
10,What one individual was seen doing with a child,action/observation,0.6923076923076923,1
10,What the other individual was doing (related to parenting books),action/observation,0.5,2
11,The sexual orientations of the individuals,orientation/identity,0.125,1
11,Whether the relationship being discussed was in the past or present,action/temporal frame,0.041666666666666664,2
11,Where the conversation took place,location,0.041666666666666664,2
11,Who is seated with whom / who knows each other,social proximity/relationship context,0.0,4
12,The sexual orientations of the couples,identity/orientation,0.125,4
12,What the couples were doing at that moment,action,0.9583333333333334,1
12,Who was present in the scene (Contextual entities),people/entities,0.20833333333333334,3
12,The nature of their interactions with each other or others,behavior/interaction,0.9583333333333334,1
13,The sexual orientations of the individuals,identity/orientation,0.25,3
13,The perceived differences in life experiences based on orientation,assumption/stereotype,0.125,4
13,The specific actions described regarding trust and loyalty,behavior/dialogue,0.9375,1
13,The specific actions described regarding dating habits or current relationships,behavior/narrative,0.9375,1
13,The reason for avoiding advice-seeking between the friends,relationship dynamic/social norm,0.125,4
15,The sexual orientations of the individuals,identity/orientation,0.041666666666666664,3
15,What the individuals were asking about in relation to the child,action/topic focus,0.875,1
15,Who is a parent or guardian figure implicitly suggested by context,relationship role,0.0,4
15,Concerns regarding safety versus recreational interests,concern type,0.7916666666666666,2
16,The sexual orientations of the individuals,identity/orientation,0.0,3
16,Where the interview took place or who conducted it (implied context source),location/source,0.0,3
16,What happened to the individuals previously in their relationships,action/history,0.9583333333333334,1
16,Why they are being interviewed now,intention/reasoning,0.08333333333333333,2
17,The sexual orientations of the individuals,identity/orientation,0.045454545454545456,3
17,Whether there was a time difference in their arrival,timing,0.0,4
17,What each person was doing at that moment,action/behavior,0.6818181818181818,1
17,How each person was interacting with others visually,interaction/nonverbal cue,0.5454545454545454,2
18,The sexual orientation/gender identity of the individuals,demographic attributes,0.04,3
18,What the individuals were doing in the store,action/behavior,1.0,1
18,Their stated preferences regarding clothing items or characteristics,preference/intention,1.0,1
18,Where the interaction is taking place,location/context,0.0,4
19,The sexual orientations of the couples,sexuality/orientation,0.0,5
19,The number and type of families present,group identity,0.045454545454545456,3
19,What the individuals were seen doing in public,observed behavior/action,1.0,1
19,The general atmosphere or tone of interactions described,interpersonal dynamic/mood,1.0,1
19,Where the behaviors occurred,location/public setting,0.045454545454545456,3
